"Schema","Status","Error"
"./OSD/V1.5/data/PointOfView.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/PointOfView.json"" already exists"
"./OSD/V1.5/data/PoseMatrix.json","invalid","schema with key or id ""https://schemas.mpai.community/MMC/V2.5/data/PoseMatrix.json"" already exists"
"./OSD/V1.5/data/Position.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/types/Position.json"" already exists"
"./OSD/V1.5/data/RADAREventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RADARaEventDescriptors.json"" already exists"
"./OSD/V1.5/data/RADARObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RADARObject.json"" already exists"
"./OSD/V1.5/data/RADARSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RADARSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/RADARSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RADARSceneGeometry.json"" already exists"
"./OSD/V1.5/data/RangeConstraint.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RangeConstraint.json"" already exists"
"./OSD/V1.5/data/RightParallelepiped.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RightParallelepiped.json"" already exists"
"./OSD/V1.5/data/RRULE.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/RRULE.json"" already exists"
"./OSD/V1.5/data/SalienceScore.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SalienceScore.json"" already exists"
"./OSD/V1.5/data/SceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SceneDescriptors.json"" already exists"
"./OSD/V1.5/data/SceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SceneGeometry.json"" already exists"
"./OSD/V1.5/data/Selector.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Selector.json"" already exists"
"./OSD/V1.5/data/SimpleLocation.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SimpleLocation.json"" already exists"
"./OSD/V1.5/data/SimpleTime.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SimpleTime.json"" already exists"
"./OSD/V1.5/data/SpaceTime.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json"" already exists"
"./OSD/V1.5/data/SpatialAnchor.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpatialAnchor.json"" already exists"
"./OSD/V1.5/data/SpatialAttitude.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpatialAttitude.json"" already exists"
"./OSD/V1.5/data/SpatialCue.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpatialCue.json"" already exists"
"./OSD/V1.5/data/SpeechEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpeechaEventDescriptors.json"" already exists"
"./OSD/V1.5/data/SpeechObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpeechObject.json"" already exists"
"./OSD/V1.5/data/SpeechSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpeechSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/SpeechSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/SpeechSceneGeometry.json"" already exists"
"./OSD/V1.5/data/TemporalCue.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/TemporalCue.json"" already exists"
"./OSD/V1.5/data/TextObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/TextObject.json"" already exists"
"./OSD/V1.5/data/TextureMap.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/TextureMap.json"" already exists"
"./OSD/V1.5/data/Time.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Time.json"" already exists"
"./OSD/V1.5/data/TimeExpression.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/TimeExpression.json"" already exists"
"./OSD/V1.5/data/Trajectory.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Trajectory.json"" already exists"
"./OSD/V1.5/data/UltrasoundEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/UltrasoundaEventDescriptors.json"" already exists"
"./OSD/V1.5/data/UltrasoundObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/UltrasoundObject.json"" already exists"
"./OSD/V1.5/data/UltrasoundSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/UltrasoundSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/UltrasoundSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/UltrasoundSceneGeometry.json"" already exists"
"./OSD/V1.5/data/VisualEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/VisualaEventDescriptors.json"" already exists"
"./OSD/V1.5/data/VisualObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/VisualObject.json"" already exists"
"./OSD/V1.5/data/VisualSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/VisualSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/VisualSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/VisualSceneGeometry.json"" already exists"
